participants,register,condition,response,instrument
36,high,HRSE,2.25,Violin
36,high,congr.,3.5,Violin
37,low,LRSE,1,Violin
37,low,MRSE,2,Violin
37,low,HRSE,1,Violin
37,low,congr.,2,Violin
37,mid,LRSE,2,Violin
37,mid,MRSE,5,Violin
37,mid,HRSE,1,Violin
37,mid,congr.,5,Violin
37,high,LRSE,4,Violin
37,high,MRSE,3,Violin
37,high,HRSE,4,Violin
37,high,congr.,2,Violin
38,low,LRSE,2,Violin
38,low,MRSE,2,Violin
38,low,HRSE,1,Violin
38,low,congr.,2,Violin
38,mid,LRSE,2,Violin
38,mid,MRSE,2,Violin
38,mid,HRSE,2,Violin
38,mid,congr.,2,Violin
38,high,LRSE,1,Violin
38,high,MRSE,1,Violin
38,high,HRSE,2,Violin
38,high,congr.,3,Violin
1,low,LRSE,3,Alto voice
1,low,MRSE,1,Alto voice
1,low,HRSE,1,Alto voice
1,low,congr.,3,Alto voice
1,mid,LRSE,3,Alto voice
1,mid,MRSE,1,Alto voice
1,mid,HRSE,2,Alto voice
1,mid,congr.,2,Alto voice
1,high,LRSE,3,Alto voice
1,high,MRSE,2,Alto voice
1,high,HRSE,4,Alto voice
1,high,congr.,4,Alto voice
2,low,LRSE,6,Alto voice
2,low,MRSE,6,Alto voice
2,low,HRSE,5,Alto voice
2,low,congr.,6,Alto voice
2,mid,LRSE,6,Alto voice
2,mid,MRSE,5,Alto voice
2,mid,HRSE,3,Alto voice
2,mid,congr.,6,Alto voice
2,high,LRSE,3,Alto voice
2,high,MRSE,3,Alto voice
2,high,HRSE,5,Alto voice
2,high,congr.,5,Alto voice
3,low,LRSE,4,Alto voice
3,low,MRSE,2,Alto voice
3,low,HRSE,4,Alto voice
3,low,congr.,4,Alto voice
3,mid,LRSE,5,Alto voice
3,mid,MRSE,2,Alto voice
3,mid,HRSE,2,Alto voice
3,mid,congr.,5,Alto voice
3,high,LRSE,4,Alto voice
3,high,MRSE,4,Alto voice
3,high,HRSE,5,Alto voice
3,high,congr.,3,Alto voice
4,low,LRSE,3,Alto voice
4,low,MRSE,4,Alto voice
4,low,HRSE,2,Alto voice
4,low,congr.,4,Alto voice
4,mid,LRSE,5,Alto voice
4,mid,MRSE,4,Alto voice
4,mid,HRSE,5,Alto voice
4,mid,congr.,4,Alto voice
4,high,LRSE,4,Alto voice
4,high,MRSE,4,Alto voice
4,high,HRSE,5,Alto voice
4,high,congr.,5,Alto voice
5,low,LRSE,5,Alto voice
5,low,MRSE,5,Alto voice
5,low,HRSE,4,Alto voice
5,low,congr.,5,Alto voice
5,mid,LRSE,2,Alto voice
5,mid,MRSE,3,Alto voice
5,mid,HRSE,4,Alto voice
5,mid,congr.,3,Alto voice
5,high,LRSE,2,Alto voice
5,high,MRSE,5,Alto voice
5,high,HRSE,3,Alto voice
5,high,congr.,2,Alto voice
6,low,LRSE,1,Alto voice
6,low,MRSE,1,Alto voice
6,low,HRSE,1,Alto voice
6,low,congr.,1,Alto voice
6,mid,LRSE,1,Alto voice
6,mid,MRSE,1,Alto voice
6,mid,HRSE,1,Alto voice
6,mid,congr.,1,Alto voice
6,high,LRSE,1,Alto voice
6,high,MRSE,1,Alto voice
6,high,HRSE,1,Alto voice
6,high,congr.,1,Alto voice
7,low,LRSE,1,Alto voice
7,low,MRSE,1,Alto voice
7,low,HRSE,1,Alto voice
7,low,congr.,2,Alto voice
7,mid,LRSE,3,Alto voice
7,mid,MRSE,1,Alto voice
7,mid,HRSE,1,Alto voice
7,mid,congr.,1,Alto voice
7,high,LRSE,4,Alto voice
7,high,MRSE,4,Alto voice
7,high,HRSE,5,Alto voice
7,high,congr.,4,Alto voice
8,low,LRSE,2,Alto voice
8,low,MRSE,1,Alto voice
8,low,HRSE,1,Alto voice
8,low,congr.,2,Alto voice
8,mid,LRSE,2,Alto voice
8,mid,MRSE,1,Alto voice
