participant,score,space,condition,f0
3,2,outer,congruent,207.7
3,3,outer,congruent,95.2
3,3,outer,congruent,114.4
3,3,outer,congruent,106.9
3,2,outer,congruent,114.4
3,2,outer,congruent,77.9
3,2,outer,congruent,77.9
3,2,outer,congruent,77.9
3,4,outer,congruent,147.1
3,2,outer,congruent,360.8
3,2,outer,congruent,508.6
3,3,outer,congruent,320.4
3,2,outer,congruent,508.6
3,5,outer,congruent,179.8
3,5,outer,congruent,197.3
3,4,outer,congruent,174.6
3,5,outer,congruent,218.1
3,1,inner,incongruent,185
3,1,inner,incongruent,55
3,3,inner,incongruent,293.7
3,4,inner,incongruent,370
3,3,inner,incongruent,440
3,3,inner,incongruent,196
3,4,inner,incongruent,246.9
3,3,inner,incongruent,164.8
3,4,inner,incongruent,392
3,4,inner,incongruent,523.3
3,3,inner,incongruent,207.7
3,2,inner,incongruent,130.8
3,3,inner,incongruent,277.2
3,3,inner,incongruent,659.3
3,3,inner,incongruent,587.3
3,4,inner,incongruent,311.1
3,4,inner,incongruent,220
3,4,inner,incongruent,493.9
3,4,inner,incongruent,415.3
3,3,inner,incongruent,1396.9
3,4,inner,incongruent,311.1
3,5,inner,incongruent,293.7
3,3,inner,incongruent,370
3,2,inner,incongruent,207.7
3,3,inner,incongruent,880
3,2,inner,incongruent,293.7
3,4,inner,incongruent,261.6
3,3,inner,incongruent,932.3
3,5,inner,incongruent,880
3,4,inner,incongruent,1244.5
3,4,inner,incongruent,587.3
3,5,inner,incongruent,392
3,2,inner,incongruent,2217.5
3,3,inner,incongruent,932.3
3,4,inner,incongruent,880
3,4,inner,incongruent,698.5
3,4,inner,incongruent,659.3
3,4,inner,incongruent,698.5
3,1,inner,incongruent,1760
3,3,inner,incongruent,1396.9
3,4,inner,incongruent,622.3
3,3,inner,incongruent,698.5
3,4,inner,incongruent,698.5
3,2,inner,incongruent,1318.5
3,2,inner,incongruent,1760
3,3,outer,incongruent,207.7
3,2,outer,incongruent,185
3,1,outer,incongruent,185
3,1,outer,incongruent,146.8
3,3,outer,incongruent,196
3,3,outer,incongruent,174.6
3,2,outer,incongruent,277.2
3,2,outer,incongruent,293.7
3,3,outer,incongruent,659.3
3,3,outer,incongruent,587.3
3,5,outer,incongruent,523.3
3,2,outer,incongruent,659.3
3,4,outer,incongruent,622.3
3,4,outer,incongruent,523.3
3,4,outer,incongruent,370
3,4,outer,incongruent,370
3,3,outer,incongruent,523.3
3,3,outer,incongruent,370
3,3,outer,incongruent,698.5
3,3,outer,incongruent,587.3
3,4,outer,incongruent,1244.5
3,3,outer,incongruent,1046.5
3,1,outer,incongruent,1108.7
3,2,outer,incongruent,1046.5
3,1,outer,incongruent,1568
3,2,outer,incongruent,1568
3,4,outer,incongruent,1568
3,4,outer,incongruent,830.6
3,3,outer,incongruent,329.6
3,1,outer,incongruent,233.1
3,3,outer,incongruent,370
3,3,outer,incongruent,233.1
3,4,outer,incongruent,659.3
3,4,outer,incongruent,622.3
3,5,outer,incongruent,698.5
3,5,outer,incongruent,554.4
3,3,inner,fixed,293.7
3,1,inner,fixed,293.7
3,3,inner,fixed,293.7
3,2,inner,fixed,293.7
3,3,inner,fixed,293.7
3,4,inner,fixed,293.7
3,3,inner,fixed,293.7
3,1,inner,fixed,293.7
3,3,inner,fixed,293.7
3,2,inner,fixed,293.7
3,3,inner,fixed,293.7
3,4,inner,fixed,293.7
3,3,inner,fixed,293.7
3,3,inner,fixed,293.7
3,3,inner,fixed,293.7
3,3,inner,fixed,293.7
3,2,inner,fixed,293.7
3,3,inner,fixed,293.7
3,3,inner,fixed,293.7
3,2,inner,fixed,293.7
3,4,inner,fixed,293.7
3,3,inner,fixed,293.7
3,4,inner,fixed,293.7
3,5,inner,fixed,293.7
3,2,inner,fixed,293.7
3,3,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,3,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,5,inner,fixed,293.7
3,5,inner,fixed,293.7
3,4,inner,fixed,293.7
3,5,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,4,inner,fixed,293.7
3,5,inner,fixed,293.7
3,4,inner,fixed,293.7
3,5,inner,fixed,293.7
3,1,outer,fixed,293.7
3,1,outer,fixed,293.7
3,2,outer,fixed,293.7
3,2,outer,fixed,293.7
3,3,outer,fixed,293.7
3,1,outer,fixed,293.7
3,2,outer,fixed,293.7
3,2,outer,fixed,293.7
3,5,outer,fixed,293.7
3,4,outer,fixed,293.7
3,5,outer,fixed,293.7
3,5,outer,fixed,293.7
3,5,outer,fixed,293.7
3,5,outer,fixed,293.7
3,2,outer,fixed,293.7
3,1,outer,fixed,293.7
3,2,outer,fixed,293.7
3,3,outer,fixed,293.7
3,3,outer,fixed,293.7
3,3,outer,fixed,293.7
3,2,outer,fixed,293.7
3,3,outer,fixed,293.7
3,5,outer,fixed,293.7
3,4,outer,fixed,293.7
3,4,outer,fixed,293.7
3,4,outer,fixed,293.7
3,5,outer,fixed,293.7
3,5,outer,fixed,293.7
3,1,outer,fixed,293.7
3,1,outer,fixed,293.7
3,3,outer,fixed,293.7
3,3,outer,fixed,293.7
3,4,outer,fixed,293.7
3,5,outer,fixed,293.7
3,4,outer,fixed,293.7
3,5,outer,fixed,293.7
4,3,inner,congruent,640.8
4,4,inner,congruent,2253.9
4,3,inner,congruent,403.7
4,4,inner,congruent,320.4
4,3,inner,congruent,277.2
4,1,inner,congruent,623.3
4,4,inner,congruent,480
4,2,inner,congruent,719.2
4,4,inner,congruent,302.4
4,3,inner,congruent,233.1
4,3,inner,congruent,570.8
4,3,inner,congruent,938.6
4,4,inner,congruent,442
4,4,inner,congruent,185
4,3,inner,congruent,207.7
4,3,inner,congruent,381
4,4,inner,congruent,540.6
4,4,inner,congruent,246.9
4,4,inner,congruent,298.1
4,5,inner,congruent,87.5
4,4,inner,congruent,381
4,3,inner,congruent,416
4,4,inner,congruent,330.2
4,5,inner,congruent,588
4,5,inner,congruent,134.7
4,4,inner,congruent,415.3
4,4,inner,congruent,454.6
4,4,inner,congruent,132.8
4,5,inner,congruent,142.3
4,4,inner,congruent,95.6
4,4,inner,congruent,201.8
4,4,inner,congruent,315.8
4,4,inner,congruent,56.5
4,4,inner,congruent,131.4
4,4,inner,congruent,134.7
4,3,inner,congruent,170.3
4,3,inner,congruent,186.2
4,4,inner,congruent,169.7
4,5,inner,congruent,67.4
4,5,inner,congruent,84.9
4,4,inner,congruent,197.3
4,3,inner,congruent,169.7
4,5,inner,congruent,169.7
4,6,inner,congruent,93.9
4,4,inner,congruent,69.4
4,2,outer,congruent,591.3
4,1,outer,congruent,640.8
4,2,outer,congruent,640.8
4,2,outer,congruent,823.5
4,2,outer,congruent,623.3
4,2,outer,congruent,709
4,3,outer,congruent,440.7
4,2,outer,congruent,403.7
4,4,outer,congruent,179.8
4,4,outer,congruent,201.8
4,4,outer,congruent,226.5
4,3,outer,congruent,187.8
4,4,outer,congruent,197.3
4,4,outer,congruent,226.5
4,3,outer,congruent,320.4
4,2,outer,congruent,320.4
4,2,outer,congruent,226.5
4,3,outer,congruent,320.4
4,3,outer,congruent,171.4
4,3,outer,congruent,207.7
4,2,outer,congruent,95.2
4,5,outer,congruent,114.4
4,6,outer,congruent,106.9
4,6,outer,congruent,114.4
4,4,outer,congruent,77.9
4,5,outer,congruent,77.9
4,3,outer,congruent,77.9
4,5,outer,congruent,147.1
4,2,outer,congruent,360.8
4,3,outer,congruent,508.6
4,1,outer,congruent,320.4
4,2,outer,congruent,508.6
4,5,outer,congruent,179.8
4,4,outer,congruent,197.3
4,5,outer,congruent,174.6
4,5,outer,congruent,218.1
4,1,inner,incongruent,185
4,1,inner,incongruent,55
4,2,inner,incongruent,293.7
4,4,inner,incongruent,370
4,5,inner,incongruent,440
4,3,inner,incongruent,196
4,4,inner,incongruent,246.9
4,3,inner,incongruent,164.8
4,4,inner,incongruent,392
4,4,inner,incongruent,523.3
4,4,inner,incongruent,207.7
4,2,inner,incongruent,130.8
4,4,inner,incongruent,277.2
4,3,inner,incongruent,659.3
4,4,inner,incongruent,587.3
4,2,inner,incongruent,311.1
4,3,inner,incongruent,220
4,4,inner,incongruent,493.9
4,4,inner,incongruent,415.3
4,3,inner,incongruent,1396.9
4,4,inner,incongruent,311.1
4,4,inner,incongruent,293.7
4,4,inner,incongruent,370
4,4,inner,incongruent,207.7
4,4,inner,incongruent,880
4,5,inner,incongruent,293.7
4,4,inner,incongruent,261.6
4,5,inner,incongruent,932.3
4,3,inner,incongruent,880
4,3,inner,incongruent,1244.5
4,4,inner,incongruent,587.3
4,4,inner,incongruent,392
4,1,inner,incongruent,2217.5
4,5,inner,incongruent,932.3
4,4,inner,incongruent,880
4,3,inner,incongruent,698.5
4,5,inner,incongruent,659.3
4,4,inner,incongruent,698.5
4,5,inner,incongruent,1760
4,3,inner,incongruent,1396.9
4,4,inner,incongruent,622.3
4,4,inner,incongruent,698.5
4,4,inner,incongruent,698.5
4,5,inner,incongruent,1318.5
4,5,inner,incongruent,1760
4,1,outer,incongruent,207.7
4,2,outer,incongruent,185
4,2,outer,incongruent,185
4,2,outer,incongruent,146.8
4,2,outer,incongruent,196
4,2,outer,incongruent,174.6
4,3,outer,incongruent,277.2
4,2,outer,incongruent,293.7
4,3,outer,incongruent,659.3
4,1,outer,incongruent,587.3
4,5,outer,incongruent,523.3
4,2,outer,incongruent,659.3
4,5,outer,incongruent,622.3
4,3,outer,incongruent,523.3
4,3,outer,incongruent,370
4,2,outer,incongruent,370
4,3,outer,incongruent,523.3
4,4,outer,incongruent,370
4,4,outer,incongruent,698.5
4,4,outer,incongruent,587.3
4,4,outer,incongruent,1244.5
4,4,outer,incongruent,1046.5
4,3,outer,incongruent,1108.7
