participant,score,space,condition,f0,pc1,pc2
2,5,inner,fixed,293.6647679,-4,-2.5
2,5,inner,fixed,293.6647679,-4,0
2,5,inner,fixed,293.6647679,-4,2.5
2,3,inner,fixed,293.6647679,-4,5
2,3,inner,fixed,293.6647679,-2,-5
2,3,inner,fixed,293.6647679,-2,-2.5
2,5,inner,fixed,293.6647679,-2,0
2,5,inner,fixed,293.6647679,-2,2.5
2,5,inner,fixed,293.6647679,-2,5
2,4,inner,fixed,293.6647679,0,-5
2,5,inner,fixed,293.6647679,0,-2.5
2,5,inner,fixed,293.6647679,0,0
2,5,inner,fixed,293.6647679,0,2.5
2,5,inner,fixed,293.6647679,0,5
2,5,inner,fixed,293.6647679,2,-5
2,4,inner,fixed,293.6647679,2,-2.5
2,5,inner,fixed,293.6647679,2,0
2,5,inner,fixed,293.6647679,2,2.5
2,4,inner,fixed,293.6647679,2,5
2,5,inner,fixed,293.6647679,4,-5
2,5,inner,fixed,293.6647679,4,-2.5
2,4,inner,fixed,293.6647679,4,0
2,5,inner,fixed,293.6647679,4,2.5
2,5,inner,fixed,293.6647679,4,5
2,4,inner,fixed,293.6647679,6,-5
2,5,inner,fixed,293.6647679,6,-2.5
2,5,inner,fixed,293.6647679,6,0
2,5,inner,fixed,293.6647679,6,2.5
2,4,inner,fixed,293.6647679,6,5
2,5,inner,fixed,293.6647679,8,-5
2,5,inner,fixed,293.6647679,8,-2.5
2,4,inner,fixed,293.6647679,8,0
2,5,inner,fixed,293.6647679,8,2.5
2,5,inner,fixed,293.6647679,8,5
2,2,outer,fixed,293.6647679,-20,9
2,2,outer,fixed,293.6647679,-20,15
2,2,outer,fixed,293.6647679,-13.3333,9
2,2,outer,fixed,293.6647679,-13.3333,15
2,2,outer,fixed,293.6647679,-6.6667,9
2,2,outer,fixed,293.6647679,-6.6667,15
2,3,outer,fixed,293.6647679,0,9
2,3,outer,fixed,293.6647679,0,15
2,5,outer,fixed,293.6647679,6.6667,9
2,3,outer,fixed,293.6647679,6.6667,15
2,5,outer,fixed,293.6647679,13.3333,9
2,4,outer,fixed,293.6647679,13.3333,15
2,4,outer,fixed,293.6647679,20,9
2,4,outer,fixed,293.6647679,20,15
2,2,outer,fixed,293.6647679,-20,-15
2,2,outer,fixed,293.6647679,-20,-9
2,3,outer,fixed,293.6647679,-13.3333,-15
2,3,outer,fixed,293.6647679,-13.3333,-9
2,3,outer,fixed,293.6647679,-6.6667,-15
2,3,outer,fixed,293.6647679,-6.6667,-9
2,4,outer,fixed,293.6647679,0,-15
2,4,outer,fixed,293.6647679,0,-9
2,5,outer,fixed,293.6647679,6.6667,-15
2,4,outer,fixed,293.6647679,6.6667,-9
2,5,outer,fixed,293.6647679,13.3333,-15
